protocol,representation,repeat,fold,train_rows,test_rows,train_compounds,test_compounds,extra_columns,mae,rmse,r2,spearman
room_plus_null_block_two_columns,Morgan,1,1,379,78,77,20,2,10.373795394035241,24.03312431702561,0.05557654826417158,0.40165403100884084
room_plus_null_block_two_columns,Physical,1,1,379,78,77,20,2,7.156081221292936,21.958198891397053,0.21161250715423463,0.9077475207318507
room_plus_null_block_two_columns,Morgan+Physical,1,1,379,78,77,20,2,8.357433584830456,22.749700731130496,0.15375196578392403,0.8524571267082074
room_plus_null_block_two_columns,Morgan,1,2,365,92,78,19,2,14.909710118003515,17.71454997500406,-0.09923459961854486,0.8444538729664535
room_plus_null_block_two_columns,Physical,1,2,365,92,78,19,2,6.042788209251734,7.209361661251247,0.8179361310766647,0.9052019447153176
room_plus_null_block_two_columns,Morgan+Physical,1,2,365,92,78,19,2,6.17459280155016,7.437735329489029,0.8062188262779126,0.9138254797888885
room_plus_null_block_two_columns,Morgan,1,3,346,111,78,19,2,10.381847117738465,17.313417386600925,0.18810830258250388,0.772040636346388
room_plus_null_block_two_columns,Physical,1,3,346,111,78,19,2,11.827881520008395,18.192150161029687,0.10360264489188697,0.8818080457927724
room_plus_null_block_two_columns,Morgan+Physical,1,3,346,111,78,19,2,9.205949634600113,15.27242344719248,0.36824539528181754,0.8726440557292557
room_plus_null_block_two_columns,Morgan,1,4,383,74,78,19,2,11.551480190586398,15.450778074813183,-0.1837775780761315,0.6054307253727218
room_plus_null_block_two_columns,Physical,1,4,383,74,78,19,2,14.645237559524743,19.073385541201837,-0.803951991409966,0.7630811106652237
room_plus_null_block_two_columns,Morgan+Physical,1,4,383,74,78,19,2,6.315198486946724,10.14912315322937,0.4892287483956539,0.7957820340712972
room_plus_null_block_two_columns,Morgan,2,0,383,74,77,20,2,17.0548245483151,24.08207313108728,-0.18621941806634967,0.03218028789198679
room_plus_null_block_two_columns,Physical,2,0,383,74,77,20,2,11.795035546824481,15.820860441843706,0.48803828363185475,0.6778026276642193
room_plus_null_block_two_columns,Morgan+Physical,2,0,383,74,77,20,2,14.169835265294667,19.791430920022655,0.19881708986925206,0.4395618355303585
room_plus_null_block_two_columns,Morgan,2,1,341,116,77,20,2,6.299133330141264,7.992154460880511,0.14118488551702402,0.8904115261760212
room_plus_null_block_two_columns,Physical,2,1,341,116,77,20,2,6.8143266671016285,10.842914924309852,-0.5807530996883832,0.49480909849459476
room_plus_null_block_two_columns,Morgan+Physical,2,1,341,116,77,20,2,5.223575549158556,8.197978313514751,0.09638075484918918,0.8333332627815551
room_plus_null_block_two_columns,Morgan,2,2,380,77,78,19,2,9.717596913622572,23.713034818400796,-0.012727050664265604,0.6241040273746519
room_plus_null_block_two_columns,Physical,2,2,380,77,78,19,2,8.42246642670074,23.31752323962628,0.020773925874369437,0.7638150666321033
room_plus_null_block_two_columns,Morgan+Physical,2,2,380,77,78,19,2,8.216419616302886,23.188885393682682,0.031548489619389386,0.7853410528069473
room_plus_null_block_two_columns,Morgan,2,3,358,99,78,19,2,5.3638431406194504,6.41748197316443,0.42302779635107035,0.689508755078189
room_plus_null_block_two_columns,Physical,2,3,358,99,78,19,2,4.010926981461651,7.3302437631184665,0.24722981372405417,0.8326879565412725
room_plus_null_block_two_columns,Morgan+Physical,2,3,358,99,78,19,2,4.0701004616014895,6.012337213702366,0.49357838033630375,0.7649070095445216
room_plus_null_block_two_columns,Morgan,2,4,366,91,78,19,2,15.364694404099014,18.23121267895863,-0.30200788879157603,0.6883674255525745
room_plus_null_block_two_columns,Physical,2,4,366,91,78,19,2,10.850327174343906,12.808002796462697,0.35739318324302616,0.8818637456016063
room_plus_null_block_two_columns,Morgan+Physical,2,4,366,91,78,19,2,4.958819363269176,6.846325663092566,0.8163894599398678,0.8922472838077797
room_plus_null_block_two_columns,Morgan,3,0,348,109,77,20,2,9.850515186288819,18.62346037511424,0.12545782623629465,0.6104419011502987
room_plus_null_block_two_columns,Physical,3,0,348,109,77,20,2,6.142642132893834,16.80374241964947,0.2880130547355193,0.8250352350584291
room_plus_null_block_two_columns,Morgan+Physical,3,0,348,109,77,20,2,7.29893000540077,16.970980035099377,0.2737705702640153,0.7942790639756068
room_plus_null_block_two_columns,Morgan,3,1,417,40,77,20,2,12.151753050231934,23.505476467129622,0.08449442878266733,0.6081145035610794
room_plus_null_block_two_columns,Physical,3,1,417,40,77,20,2,11.419181849384307,16.802381298398416,0.5321953380190958,0.7475719118773234
room_plus_null_block_two_columns,Morgan+Physical,3,1,417,40,77,20,2,11.176153454208373,17.687242639693366,0.48162608317453703,0.7800403586870334
room_plus_null_block_two_columns,Morgan,3,2,295,162,78,19,2,10.85950156441206,13.008316903320488,0.20059838194627222,0.5823115628924441
room_plus_null_block_two_columns,Physical,3,2,295,162,78,19,2,9.463722945505307,13.565347227486953,0.13067006334100628,0.6988900303083946
room_plus_null_block_two_columns,Morgan+Physical,3,2,295,162,78,19,2,7.588854920997147,9.210485034360852,0.5992368251242775,0.759869921985364
room_plus_null_block_two_columns,Morgan,3,3,366,91,78,19,2,11.824455937027144,18.861687747531708,0.24200424139319576,0.7630677558307558
room_plus_null_block_two_columns,Physical,3,3,366,91,78,19,2,8.779755865294067,15.248910042728042,0.5045688849122831,0.9261417358608899
room_plus_null_block_two_columns,Morgan+Physical,3,3,366,91,78,19,2,9.859591257753477,16.18767649810464,0.4416908993512543,0.9065130053488062
room_plus_null_block_two_columns,Morgan,3,4,402,55,78,19,2,10.476464447515315,15.382098398837563,-0.809372282324345,0.18214316351441348
