queue_rank,inchikey,name,smiles,target_dielectric,target_T_K,local_rows,local_distinct_T,family_tag,is_champion,champion_short,model_ready,probed_in_this_round,stocking_priority,access
70,VCAIYEJBOWHUGP-UHFFFAOYSA-N,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",CCCCn1cc[n+](C)c1C.F[B-](F)(F)F,13.3,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
71,VRFOKYHDLYBVAL-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium ethyl sulfate,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,35,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
72,VVLAIYIMMFWRFW-UHFFFAOYSA-N,2-hydroxyethylammonium acetate,CC(=O)O.NCCO,58.3,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
73,XDJYSDBSJWNTQT-UHFFFAOYSA-N,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12.8,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
74,ZPTRYWVRCNOTAS-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,16.5,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
75,AILKHAQXUAOOFU-UHFFFAOYSA-N,hexanenitrile,CCCCCC#N,16.3,298.15,0,0,nitrile,false,,true,no,P3,public_local_metadata_only_not_yet_probed
76,FVSKHRXBFJPNKK-UHFFFAOYSA-N,Propionitrile,CCC#N,27.2,293.15,0,0,nitrile,false,,true,no,P3,public_local_metadata_only_not_yet_probed
77,HBZDPWBWBJMYRY-UHFFFAOYSA-N,decanenitrile,CCCCCCCCCC#N,10.6,298.15,0,0,nitrile,false,,true,no,P3,public_local_metadata_only_not_yet_probed
78,JFDZBHWFFUWGJE-UHFFFAOYSA-N,Benzonitrile,N#Cc1ccccc1,25.20,298.15,0,0,nitrile,false,,true,no,P3,public_local_metadata_only_not_yet_probed
79,KVNRLNFWIYMESJ-UHFFFAOYSA-N,butanenitrile,CCCC#N,22.0,298.15,0,0,nitrile,false,,true,no,P3,public_local_metadata_only_not_yet_probed
80,NKKMVIVFRUYPLQ-NSCUHMNNSA-N,Crotononitrile (bp 108 C),C/C=C/C#N,36.1,293.15,0,0,nitrile,false,,true,no,P3,public_local_metadata_only_not_yet_probed
81,RFFFKMOABOFIDF-UHFFFAOYSA-N,pentanenitrile,CCCCC#N,21.0,298.15,0,0,nitrile,false,,true,no,P3,public_local_metadata_only_not_yet_probed
82,SZKKNEOUHLFYNA-UHFFFAOYSA-N,undecanenitrile,CCCCCCCCCCC#N,9.1,298.15,0,0,nitrile,false,,true,no,P3,public_local_metadata_only_not_yet_probed
83,YSIMAPNUZAVQER-UHFFFAOYSA-N,octanenitrile,CCCCCCCC#N,13.0,298.15,0,0,nitrile,false,,true,no,P3,public_local_metadata_only_not_yet_probed
84,AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,CNc1ccccc1,5.878,300.15,1,1,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
85,APPOKADJQUIAHP-UHFFFAOYSA-N,"2,4-Hexadiene",CC=CC=CC,2.22,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
86,BOGRNZQRTNVZCZ-AATRIKPKSA-N,"3-Methyl-1,3-pentadiene",C=C/C(C)=C/C,2.43,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
87,BWEKDYGHDCHWEN-UHFFFAOYSA-N,2-methyl-2-hexene,CCCC=C(C)C,2.96,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
88,CJSBUWDGPXGFGA-UHFFFAOYSA-N,"4-methyl-1,3-pentadiene",C=CC=C(C)C,2.60,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
89,CSCPPACGZOOCGX-UHFFFAOYSA-N,Acetone,CC(C)=O,20.70,298.15,1,1,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
90,CYTYCFOTNPOANT-UHFFFAOYSA-N,Tetrachloroethylene,ClC(Cl)=C(Cl)Cl,2.30,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
