representation,arm,repeat,inchikey,name,target,prediction
Morgan,baseline_v0.3,0,MHNNAWXXUZQSNM-UHFFFAOYSA-N,2-Methyl-1-butene,2.197,6.61113977432
Morgan,baseline_v0.3,0,RGSFGYAAUTVSQA-UHFFFAOYSA-N,Cyclopentane,1.965,9.09452056885
Morgan,baseline_v0.3,0,FOTXAJDDGPYIFU-UHFFFAOYSA-N,Ethylcyclopropane,1.933,5.88741111755
Morgan,baseline_v0.3,0,OFBQJSOFQDEBGM-UHFFFAOYSA-N,n-Pentane,1.844,4.91698551178
Morgan,baseline_v0.3,0,QWTDNUCVQCZILF-UHFFFAOYSA-N,2-Methylbutane,1.843,6.44681835175
Morgan,baseline_v0.3,0,UHOVQNZJYSORNB-UHFFFAOYSA-N,Benzene,2.284,6.11775970459
Morgan,baseline_v0.3,0,HGCIXCUEYOPUTN-UHFFFAOYSA-N,Cyclohexene,2.22,9.05260944366
Morgan,baseline_v0.3,0,GDOPTJXRTPNYNR-UHFFFAOYSA-N,Methylcyclopentane,1.985,8.70301914215
Morgan,baseline_v0.3,0,NEZRFXZYPAIZAD-UHFFFAOYSA-N,Ethylcyclobutane,1.965,5.82437133789
Morgan,baseline_v0.3,0,ZQDPJFUHLCOCRG-WAYWQWQTSA-N,cis-3-Hexene,2.062,5.31028652191
Morgan,baseline_v0.3,0,ZQDPJFUHLCOCRG-AATRIKPKSA-N,trans-3-Hexene,2,4.95873117447
Morgan,baseline_v0.3,0,VLKZOEOYAKHREP-UHFFFAOYSA-N,n-Hexane,1.89,4.91698551178
Morgan,baseline_v0.3,0,RWNKSTSCBHKHTB-UHFFFAOYSA-N,"Hexachloro-1,3-butadiene",2.55,29.2982883453
Morgan,baseline_v0.3,0,CYTYCFOTNPOANT-UHFFFAOYSA-N,Tetrachloroethylene,2.3,14.4912929535
Morgan,baseline_v0.3,0,UQEAIHBTYFGYIE-UHFFFAOYSA-N,Hexamethyldisiloxane,2.17,8.21505355835
Morgan,baseline_v0.3,0,GETTZEONDQJALK-UHFFFAOYSA-N,"alpha,alpha,alpha-Trifluorotoluene",9.18,5.75283145905
Morgan,baseline_v0.3,0,KFUSEUYYWQURPO-UPHRSURJSA-N,"cis-1,2-Dichloroethylene",9.2,10.4429006577
Morgan,baseline_v0.3,0,KFUSEUYYWQURPO-OWOJBTEDSA-N,"trans-1,2-Dichloroethylene",2.14,9.28008365631
Morgan,baseline_v0.3,0,PIICEJLVQHRZGT-UHFFFAOYSA-N,"1,2-Ethanediamine",14.2,15.1677770615
Morgan,baseline_v0.3,0,QBELEDRHMPMKHP-UHFFFAOYSA-N,1-Bromo-2-chlorobenzene,6.8,6.42941761017
Morgan,baseline_v0.3,0,JRGGUPZKKTVKOV-UHFFFAOYSA-N,1-Bromo-3-chlorobenzene,4.58,7.95025110245
Morgan,baseline_v0.3,0,WQONPSCCEXUXTQ-UHFFFAOYSA-N,o-Dibromobenzene,7.35,8.54585170746
Morgan,baseline_v0.3,0,JSRLURSZEMLAFO-UHFFFAOYSA-N,m-Dibromobenzene,4.8,7.8402967453
Morgan,baseline_v0.3,0,RFFLAFLAYFXFSW-UHFFFAOYSA-N,o-Dichlorobenzene,9.93,7.95025110245
Morgan,baseline_v0.3,0,ZPQOPVIELGIULI-UHFFFAOYSA-N,m-Dichlorobenzene,5.04,8.19663333893
Morgan,baseline_v0.3,0,SFPQFQUXAJOWNF-UHFFFAOYSA-N,m-Diiodobenzene,4.25,7.8402967453
Morgan,baseline_v0.3,0,ROSDSFDQCJNGOL-UHFFFAOYSA-N,Dimethylamine,5.26,8.57398605347
Morgan,baseline_v0.3,0,GETQZCLCWQTVFV-UHFFFAOYSA-N,Trimethylamine,2.44,14.0411396027
Morgan,baseline_v0.3,0,YLQBMQCUIZJEEH-UHFFFAOYSA-N,Furan,2.95,8.07810688019
Morgan,baseline_v0.3,0,WQAQPCDUOCURKW-UHFFFAOYSA-N,1-Butanethiol,4.95,6.37273406982
Morgan,baseline_v0.3,0,LJSQFQKUNVCTIA-UHFFFAOYSA-N,Ethyl sulfide,5.72,6.55613660812
Morgan,baseline_v0.3,0,JUJWROOIHBZHMG-UHFFFAOYSA-N,Pyridine,12.3,17.949098587
Morgan,baseline_v0.3,0,OEPRBXUJOQLYID-UHFFFAOYSA-N,1-Fluoropentane,4.24,11.7030639648
Morgan,baseline_v0.3,0,HLLCNVLEVVFTJB-UHFFFAOYSA-N,2-Fluoro-2-methylbutane,5.89,7.46136665344
Morgan,baseline_v0.3,0,ZRKMQKLGEQPLNS-UHFFFAOYSA-N,1-Pentanethiol,4.55,5.47069120407
