Index,Solvent Name,CANON_SMILES,Temperature (K),Inverse temperature (1/K),EdgePool_log(Viscosity)_pred,is_within_training
198,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,280,0.0035714285714285,0.8921747,True
199,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,285,0.0035087719298245,0.86689395,True
200,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,290,0.0034482758620689,0.8351275,True
201,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,295,0.0033898305084745,0.8038534,True
202,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,300,0.0033333333333333,0.77322906,True
203,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,305,0.0032786885245901,0.72710717,True
204,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,310,0.0032258064516129,0.65866303,True
205,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,315,0.0031746031746031,0.60864824,True
206,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,320,0.003125,0.58032936,True
207,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,325,0.003076923076923,0.55448306,True
208,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,330,0.003030303030303,0.52154785,True
209,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,270,0.0037037037037037,0.36410892,False
210,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,275,0.0036363636363636,0.4276618,False
211,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,280,0.0035714285714285,0.42623466,False
212,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,285,0.0035087719298245,0.4419677,False
213,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,290,0.0034482758620689,0.3973649,False
214,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,295,0.0033898305084745,0.3170184,False
215,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,300,0.0033333333333333,0.1983561,False
216,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,305,0.0032786885245901,0.15020683,False
217,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,310,0.0032258064516129,0.0713775,False
218,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,315,0.0031746031746031,-0.0028187986,False
219,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,320,0.003125,-0.079698734,False
220,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,325,0.003076923076923,-0.15545538,False
221,TFEO (C7H7F9O3),FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,330,0.003030303030303,-0.2256931,False
222,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,270,0.0037037037037037,0.2724385,False
