scenario,arm,split_id,repeat,fold,train_rows,test_rows,train_qids,test_qids,train_pair_capacity,test_pair_capacity,n_comparable_pairs,global_spearman,macro_query_spearman,micro_pairwise_accuracy,macro_pairwise_accuracy,auc_gt15,auc_gt30,calibrated_mae,calibrated_rmse,calibrated_r2
inchikey_singleton_negative_control,regression_head,7,1,2,187,47,187,47,0,0,0,0.820652173913,nan,nan,nan,0.94696969697,0.970930232558,4.57247940625,7.22816479023,0.522021410696
inchikey_singleton_negative_control,rank_pairwise,8,1,3,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,9.28376706679,13.7800257179,-0.0150955664358
inchikey_singleton_negative_control,regression_head,8,1,3,187,47,187,47,0,0,0,0.803330346379,nan,nan,nan,0.858870967742,0.94696969697,5.21272714736,8.58858454859,0.60567885574
inchikey_singleton_negative_control,rank_pairwise,9,1,4,188,46,188,46,0,0,0,nan,nan,nan,nan,0.5,0.5,13.3745816605,21.8630987002,-0.0421624062165
inchikey_singleton_negative_control,regression_head,9,1,4,188,46,188,46,0,0,0,0.840975670325,nan,nan,nan,0.945833333333,0.960960960961,9.42494519398,18.9251763658,0.219106436926
inchikey_singleton_negative_control,rank_pairwise,10,2,0,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,13.4247428888,26.8309841965,-0.00216765752401
inchikey_singleton_negative_control,regression_head,10,2,0,187,47,187,47,0,0,0,0.886762453032,nan,nan,nan,0.947916666667,0.861788617886,7.92267792651,25.2223834099,0.114396300059
inchikey_singleton_negative_control,rank_pairwise,11,2,1,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,10.6100035783,14.6995922688,-0.000454494969539
inchikey_singleton_negative_control,regression_head,11,2,1,187,47,187,47,0,0,0,0.817648252418,nan,nan,nan,0.95,0.947154471545,5.79037256901,8.87691198298,0.635153159208
inchikey_singleton_negative_control,rank_pairwise,12,2,2,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,10.7941660655,15.3088179505,-0.00996243122849
inchikey_singleton_negative_control,regression_head,12,2,2,187,47,187,47,0,0,0,0.923761893093,nan,nan,nan,0.97380952381,0.991869918699,4.74557924254,8.3129591999,0.702194166887
inchikey_singleton_negative_control,rank_pairwise,13,2,3,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,10.1026987769,17.3956718157,-0.000701629838414
inchikey_singleton_negative_control,regression_head,13,2,3,187,47,187,47,0,0,0,0.804625614339,nan,nan,nan,0.89375,0.987804878049,6.69809931345,14.0420785287,0.347943857282
inchikey_singleton_negative_control,rank_pairwise,14,2,4,188,46,188,46,0,0,0,nan,nan,nan,nan,0.5,0.5,10.3466738552,13.3232725151,-9.13448579776e-05
inchikey_singleton_negative_control,regression_head,14,2,4,188,46,188,46,0,0,0,0.885126592458,nan,nan,nan,0.914682539683,0.970833333333,3.64502100564,5.47563374022,0.831077839098
